Demand,Solar
0.80284,0.98247
0.79107,0.9944
0.77722,0.92805
0.76228,0.93248
0.75214,0.85207
0.74278,0.86856
0.73679,0.89477
0.73475,0.92411
0.73434,0.91851
0.73574,0.9154
0.73464,0.89311
0.74073,0.83704
0.7515,0.80879
0.76742,0.81305
0.78759,0.80288
0.82329,0.58112
0.86667,0.66016
0.89458,0.50448
0.92689,0.29476
0.954,0.078852
0.98275,0.015757
0.99998,0.014777
0.98985,0.014239
0.97738,0.014151
0.95092,0.011718
0.91799,0.0021082
0.88534,0.0018947
0.85553,-0.00027158
0.8359,0
0.83485,-0.00092244
0.81969,-0.0033734
0.80501,-0.0032481
0.79326,-0.0033523
0.78218,-0.0029976
0.77436,-0.0032738
0.77121,-0.0032971
0.77082,-0.0033818
0.77937,-0.0034663
0.79256,-0.0034591
0.81906,-0.0034582
0.84594,-0.0035235
0.87092,0.015467
0.88993,0.13931
0.90614,0.39673
0.89058,0.65469
0.87345,0.83646
0.85048,0.90971
0.82003,0.97201
0.79593,0.96189
0.77684,0.99952
0.75755,0.94642
0.74446,0.94228
0.73507,0.91595
0.72475,0.88318
0.72072,0.79686
0.72436,0.82227
0.718,0.8259
0.72942,0.83405
0.73397,0.81213
0.73574,0.82246
0.7504,0.83742
0.77034,0.74237
0.7975,0.84935
0.83465,0.68807
0.86647,0.6962
0.89936,0.43496
0.92895,0.24067
0.9525,0.080075
0.98292,0.019355
0.99865,0.01014
0.99249,0.010493
0.98224,0.0062531
0.959,0.00629
0.92696,0.0033142
0.89431,0.0033102
0.86573,0.0032316
0.8405,0
0.84367,0.0044103
0.8286,0.0013078
0.81612,-0.00071951
0.80419,-0.00071795
0.79414,-0.00071802
0.78642,-0.00071684
0.78188,-0.000775
0.78022,-0.00083486
0.78953,-0.00093774
0.80277,-0.00092645
0.82577,-0.0010306
0.84943,-0.0010157
0.87982,0.02929
0.89595,0.23574
0.9065,0.56301
0.88669,0.81144
0.87497,0.91865
0.84887,0.9565
0.81896,0.9991
0.78783,0.94701
0.7605,0.85146
0.73942,0.88262
0.72472,0.90167
0.71053,0.9312
0.69841,0.91649
0.69469,0.88471
0.69055,0.89154
0.69208,0.84293
0.6961,0.91446
0.69601,0.96964
0.70596,0.91396
0.7206,0.929
0.74786,0.91526
0.76639,0.95605
0.80571,0.91709
0.84911,0.93354
0.88503,0.68029
0.92515,0.3575
0.95586,0.10662
0.9862,0.018057
0.99882,0.013673
0.99193,0.010697
0.98566,0.0054929
0.95956,0.0043567
0.92478,0.0026757
0.89329,0.0027998
0.8665,0.0016358
0.85399,0
0.8215,0.0011086
0.80633,-0.0027825
0.79166,-0.0028088
0.77852,-0.0028173
0.76527,-0.0028568
0.75899,-0.0028057
0.75378,-0.0025536
0.75404,-0.0028975
0.75949,-0.0026502
0.76936,-0.0029833
0.79647,0.00034097
0.82211,0.00095755
0.84723,0.027883
0.86295,0.20062
0.87469,0.48905
